province_name,nama_komoditas,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,luar_wilayah_hektar,tahun,hasil_panen
kalimantan selatan,Bawang Merah (Ton),23.346652477978346,31.922922374429223,26.743659692877383,84.17351598173516,14.337984067564948,4.931750627160199,4.724200913242009,202.97260273972603,2.2025199711973515,457155.0,2011.0,7.0
sulawesi tenggara,Bawang Putih (Ton),23.610045662100458,32.237899543378994,27.291598173515982,80.55981735159817,13.168048921612591,5.011430152871649,4.021917808219178,190.68493150684927,1.6890191990150538,85585.0,2011.0,0.0
nusa tenggara barat,Bawang Daun (Ton),22.79800560359401,32.42587107403171,26.82341418492851,80.79805106345064,13.042523338896306,7.791732636771394,5.97254004576659,224.5900344309665,2.3799703249992104,264666.0,2015.0,775.0
kalimantan tengah,Labu Siam (Ton),23.40986301369863,32.567945205479454,27.058630136986302,85.58246575342466,15.680245463833664,4.621963981413144,4.192209720453427,215.6581992479989,2.397707635817837,175633.0,2010.0,858.0
bali,Kembang Kol (Ton),23.48054794520548,30.390342465753427,26.66349315068493,81.18278594042013,13.432653613067377,5.443403427821854,5.315903740661522,169.39603350885153,3.0089281199071034,80164.0,2011.0,811.0
riau,Jamur (Ton),23.491036601052823,32.63291888633802,27.241025192570905,82.85388806057375,13.595258163539349,4.74105224242564,3.983770225195933,174.67107980162265,1.5879332216514432,71910.0,2015.0,739.23
dki jakarta,Cabai Rawit (Ton),24.790983606557376,32.79271402550091,28.26493624772313,75.06102003642987,14.948663685654475,4.9932111192523,4.907103825136612,178.70218579234972,2.4437807029484726,1001.0,2012.0,0.0
sulawesi selatan,Kubis (Ton),20.86397438587908,31.036891974905977,26.0393142702585,81.69287059981895,19.292835142102465,5.429591077503835,7.031986736234574,231.13972602739727,2.0284021466532414,576559.0,2011.0,49745.0
lampung,Jamur (Ton),22.573592153550447,32.39973896225485,27.18388403087973,78.57015105818856,13.729715534605123,4.458144064601955,4.761150733215708,198.05454691221365,2.4100430103111834,350949.0,2011.0,198.15
dki jakarta,Cabai Rawit (Ton),25.040514412033104,32.37027120244131,28.207013915948387,75.38133315133703,16.4098823437081,5.520425905586524,5.130030004293601,175.32585452405047,2.3637402782907646,650.0,2015.0,0.0
aceh,Paprika (Ton),22.5043545965024,31.03769463184137,26.79729001540352,85.19739803533088,13.90653011600785,5.262184095685761,4.538418592443454,176.91544889515112,2.2185396318650947,290337.0,2015.0,0.0
jawa tengah,Kacang Panjang (Ton),24.68597924954173,31.608738741009613,27.84665334836347,78.6868904339256,15.439894630355589,5.90137481272548,5.813237180748602,220.90128193503125,2.413072120921597,952980.0,2013.0,33007.0
kalimantan utara,Bawang Putih (Ton),22.439948982475087,30.89343944678116,25.87834916670821,85.1953292438617,14.369288393524153,4.367262145539626,5.07843285154616,199.6042746990125,2.5314999490919203,21661.666666666668,2012.0,0.0
banten,Lobak (Ton),23.724001827525058,32.60109897850637,27.400979181006743,79.37162393000742,12.726238531075358,4.957477906879085,5.63551912568306,191.8764040012368,2.27840782438074,195951.0,2012.0,0.0
maluku,Kacang Merah (Ton),24.214209765016708,31.010062495818445,27.37795260605626,85.10317428576714,14.632622328087102,5.040138212484565,5.08238764107898,199.80620497190665,2.486819913886992,11451.0,2010.0,5.0
kep. riau,Kacang Merah (Ton),24.402452147788143,31.294145656229137,27.47015316688844,84.19889236093539,15.01959812599232,4.196531794530605,5.857189401405869,181.1116457092607,2.9714613334058977,487.0,2013.0,0.0
kalimantan selatan,Buncis (Ton),23.65449871465296,32.05616966580977,26.810796915167096,83.02522817830234,13.971951105130476,4.698800689897709,4.539738843652302,197.9701430607723,2.517409031806288,451869.0,2012.0,1811.0
kep. bangka belitung,Terung (Ton),23.26365296803653,31.329589041095893,26.636529680365296,88.01278538812785,15.065823873432898,4.094550723936545,5.207898598997936,191.0897465784098,2.459090030193506,4056.0,2010.0,5273.0
bengkulu,Paprika (Ton),22.61749298962929,31.114793882582752,25.915148543011256,84.15718956420453,16.155869472302207,5.977997073745868,4.411305247394326,213.5832684631762,2.2039776618518534,85131.0,2015.0,0.0
kalimantan timur,Paprika (Ton),24.324648123328497,32.381342737011224,27.561801809134224,82.78638463125705,13.206559950650853,4.852568841296952,4.35852534562212,164.52811059907833,1.803391968669243,57000.0,2015.0,0.0
jawa timur,Jamur (Ton),22.883415023996687,31.286593482114576,26.79010456152237,78.95574737929581,16.787932480829276,6.2614940523617415,5.66749527128384,163.11387651081571,2.5211801265132405,1101765.0,2014.0,6723.89
jawa barat,Bawang Daun (Ton),21.21257151766381,29.62425888145777,24.371829383955784,82.7273434667999,15.934770782876118,4.71033352106416,3.734650965195924,230.80629069502297,1.82970914024742,925042.0,2013.0,191344.0
lampung,Paprika (Ton),22.909427501882288,32.29831218586774,27.14933983956146,82.51274431699265,14.653865934807596,4.348415830428177,4.362007073635418,189.39651864779967,2.304879206721516,345437.0,2010.0,0.5
jawa barat,Bawang Putih (Ton),21.12748457847841,29.871898560657986,24.48725154215216,79.08019191226867,14.627338613177498,4.43196433472728,3.543209253860661,251.1310800541017,1.8377625082765128,930507.0,2011.0,892.0
kep. bangka belitung,Kacang Panjang (Ton),23.794921374279216,31.649560901070583,26.99291486155749,82.34755365020813,14.551229823667509,5.379256126500308,5.689826940358406,177.49719589843946,3.3583793389816656,7490.0,2014.0,4436.0
nusa tenggara timur,Kembang Kol (Ton),21.806575342465752,30.808986301369863,26.23219735141325,78.52604121466466,13.94790119651898,6.084336752510539,5.7813953673946745,202.67450499372376,2.9528407713462714,144574.0,2011.0,242.0
sumatera utara,Cabai Rawit (Ton),22.909131132669923,31.729362778395814,26.67699047480788,82.77838599681435,15.643941720371323,4.234494494002866,4.465115280016116,219.17082735361103,2.5795028210563906,467138.0,2011.0,35449.0
sumatera utara,Tomat (Ton),22.82169877362752,31.84112389517619,26.765010719870187,82.42961883235691,15.207516617452086,4.35329738040802,4.566520838968768,198.2760877452091,2.5789141136591653,448722.0,2012.0,112391.0
sumatera utara,Kacang Merah (Ton),23.18386146187426,31.728784530283217,26.884343613295744,82.5333003716734,15.032294990720713,4.197985527082576,4.528335005069135,204.4892656099395,2.41526323227445,438346.0,2013.0,3063.0
kalimantan timur,Kangkung (Ton),24.19506849315068,32.229132420091325,27.31269406392694,86.40182648401826,12.73833691136176,4.437875658587988,5.178895710570298,197.498958917076,2.089390186867344,82796.0,2010.0,20039.0
sumatera utara,Petai (Ton),22.82169877362752,31.84112389517619,26.765010719870187,82.42961883235691,15.207516617452086,4.35329738040802,4.566520838968768,198.2760877452091,2.5789141136591653,448722.0,2012.0,9369.42857142857
sulawesi utara,Jengkol (Ton),22.9849906556624,30.647878882460773,26.38812773432298,83.12826559126331,14.541174544632767,4.9970124230679565,5.534463276836158,205.4785310734464,2.1654373111244,56173.0,2012.0,0.0
sumatera selatan,Terung (Ton),24.046575342465754,32.25342465753425,27.22890410958904,85.26575342465753,16.139635205371842,4.3182989119031205,6.553881569862664,212.0362505303092,1.551068609087253,611386.0,2010.0,30226.0
sumatera utara,Kembang Kol (Ton),23.18386146187426,31.728784530283217,26.884343613295744,82.5333003716734,15.032294990720713,4.197985527082576,4.528335005069135,204.4892656099395,2.41526323227445,438346.0,2013.0,28764.0
jawa tengah,Petai (Ton),24.740088157895045,31.9024221260342,27.992589984683143,77.7317353849798,15.860883106668556,6.252838376402514,5.594161130978549,197.48571766607137,2.5776710671058907,966647.0,2014.0,71625.0
gorontalo,Cabai Rawit (Ton),23.118447527848343,32.749359232613905,27.141616927119347,81.10155471768374,10.919404543704276,6.768109316770186,4.998280987623608,224.99693559666852,1.4282969532474483,32116.0,2014.0,11771.0
nusa tenggara timur,Tomat (Ton),22.80326797472621,31.39027150146501,26.968862748205943,80.68822630453718,13.77451656260351,6.044751292261557,5.539151994678147,205.34759466244608,2.8704770244907,142479.0,2010.0,6151.0
nusa tenggara barat,Petsai/Sawi (Ton),22.79800560359401,32.42587107403171,26.82341418492851,80.79805106345064,13.042523338896306,7.791732636771394,5.97254004576659,224.5900344309665,2.3799703249992104,264666.0,2015.0,2409.0
kalimantan utara,Bayam (Ton),22.84794520547945,31.08623287671233,26.37726027397261,85.32214126956036,14.247583728501494,4.744228877235467,4.552043536954164,188.899015022969,2.56085354935496,21661.666666666668,2010.0,2338.6666666666665
sulawesi barat,Petai (Ton),24.428362673766514,31.86646580925161,27.69367880397801,79.02305178245273,10.307974753890123,7.127388295276367,4.879432624113475,118.22695035460993,2.652482269503546,62312.0,2014.0,3.0
nusa tenggara timur,Bawang Merah (Ton),22.80326797472621,31.39027150146501,26.968862748205943,80.68822630453718,13.77451656260351,6.044751292261557,5.539151994678147,205.34759466244608,2.8704770244907,142479.0,2010.0,3879.0
aceh,Jengkol (Ton),22.07591918800805,31.72608834837932,26.738554895350028,84.40567818212344,14.439665617714112,3.185673877744045,5.584355817725192,193.848668729613,2.7159600759255698,308973.0,2012.0,1634.142857142857
banten,Bayam (Ton),24.050383746598904,32.753920816537466,27.68395242779873,78.85719533699391,13.042638692223797,5.869816806838244,4.576841434312582,148.29014667388154,1.9659641947306248,199492.0,2015.0,7928.0
sulawesi tengah,Jamur (Ton),23.82087104736969,32.47053474623385,27.756253460082384,77.65858767683552,10.805332786246623,6.560798791153428,5.741721254602006,240.99323945959685,2.3203230278003373,128323.0,2015.0,45.05
kalimantan utara,Petai (Ton),23.786684575609915,32.044321044215046,27.471517311183817,82.35071997683517,14.61738260808294,5.265300829117347,5.2035452677591305,198.14981630826588,2.600711929018869,21775.0,2014.0,0.0
sumatera utara,Cabai Besar (Ton),22.945980127861304,31.971200636264022,26.8925738346988,84.54764501471773,14.514827936863758,4.785073312886762,4.107305036857647,201.5992818779472,1.6783209628219258,423465.0,2015.0,187835.0
lampung,Tomat (Ton),22.46652270739457,32.685434236342985,27.263684678800008,79.86241303655342,13.404059697848442,4.815122222617764,4.8200023148968425,170.16928354685908,2.581212047797207,364111.0,2012.0,16801.0
bali,Kentang (Ton),23.83202550409161,30.79864364969736,27.21602402642963,80.55808711914838,13.543705327228054,7.421543092479674,4.901411758898133,163.73598628517888,2.67525455147605,75922.0,2015.0,1953.0
nusa tenggara timur,Bawang Putih (Ton),22.80326797472621,31.39027150146501,26.968862748205943,80.68822630453718,13.77451656260351,6.044751292261557,5.539151994678147,205.34759466244608,2.8704770244907,142479.0,2010.0,340.0
gorontalo,Tomat (Ton),23.118447527848343,32.749359232613905,27.141616927119347,81.10155471768374,10.919404543704276,6.768109316770186,4.998280987623608,224.99693559666852,1.4282969532474483,32116.0,2014.0,1714.0
bali,Paprika (Ton),23.83202550409161,30.79864364969736,27.21602402642963,80.55808711914838,13.543705327228054,7.421543092479674,4.901411758898133,163.73598628517888,2.67525455147605,75922.0,2015.0,282.0
bali,Bawang Putih (Ton),23.75168854107752,30.840255009107462,26.83661474807943,81.3296903460838,13.948454870925191,4.269301712326409,6.3227044011934606,162.50446413003894,2.9973355676084354,79399.0,2012.0,85.0
kalimantan selatan,Bawang Daun (Ton),23.664246879894414,32.76377662338533,27.234117002749205,80.80031568664789,14.013193630777858,5.763450286716988,4.690126169268823,177.08557407298534,1.808185215105664,450152.0,2015.0,872.0
sumatera selatan,Jamur (Ton),23.850684931506848,32.41438356164384,27.166986301369864,83.42602739726027,14.951570123427564,4.589147919726627,7.554185711963448,201.03505141807287,1.846652150442189,629355.0,2011.0,142.64
kalimantan utara,Petai (Ton),23.382043563952525,31.95094422793516,27.145440101592914,82.6253462587336,13.608881840455656,5.5987261304140885,4.869909978481166,174.90438450975006,1.844415649193468,21448.0,2015.0,79.0
banten,Kubis (Ton),23.90689169107469,32.21114413104401,27.31127568363455,81.74335063331907,14.129668754479448,4.454790066795482,5.074453938176072,210.9297356190156,2.242985823107841,194716.0,2013.0,0.0
lampung,Labu Siam (Ton),22.909427501882288,32.29831218586774,27.14933983956146,82.51274431699265,14.653865934807596,4.348415830428177,4.362007073635418,189.39651864779967,2.304879206721516,345437.0,2010.0,16676.0
kalimantan tengah,Petsai/Sawi (Ton),23.39812307106616,32.82268133359514,27.146410718162453,85.33569816155054,14.849815257866137,4.092278825078114,4.011653207714839,200.5454326647901,1.7241347099760662,215545.0,2014.0,1623.0
aceh,Labu Siam (Ton),22.5043545965024,31.03769463184137,26.79729001540352,85.19739803533088,13.90653011600785,5.262184095685761,4.538418592443454,176.91544889515112,2.2185396318650947,290337.0,2015.0,8255.0
papua,Kangkung (Ton),22.66144889972264,30.754944534432603,26.035738385799736,83.3525309805036,15.829548856320963,4.3530667798896925,4.8024879995452086,211.1106020739197,2.580515151602768,27756.0,2012.0,5764.0
sumatera barat,Kangkung (Ton),22.03391224622473,30.59484997863849,26.4301187265376,84.13191252993559,19.68213952328867,5.365376166738065,3.968287098749519,184.4102970056236,1.571879547657512,226377.0,2015.0,6917.0
dki jakarta,Ketimun (Ton),25.040514412033104,32.37027120244131,28.207013915948387,75.38133315133703,16.4098823437081,5.520425905586524,5.130030004293601,175.32585452405047,2.3637402782907646,650.0,2015.0,22.0
