iter	RMSE
0	37295.4208
1	35411.83107
2	33872.82141
3	32414.71391
4	31156.4733
5	29927.13462
6	28735.38063
7	27672.67803
8	26706.14428
9	25880.59793
10	25036.77867
11	24388.37154
12	23675.00682
13	23074.82254
14	22471.63543
15	21831.58814
16	21245.5111
17	20717.07714
18	20286.93605
19	19899.14324
20	19448.7057
21	19129.66953
22	18716.85156
23	18345.62932
24	17932.90151
25	17594.97549
26	17256.41515
27	16997.15439
28	16792.73302
29	16550.70959
30	16435.96018
31	16074.55182
32	15846.698
33	15636.95583
34	15420.48219
35	15223.80551
36	14936.10824
37	14727.05539
38	14622.06931
39	14479.76648
40	14347.02006
41	14221.22618
42	14078.54482
43	13821.37356
44	13689.21575
45	13532.19958
46	13395.59742
47	13257.12707
48	13130.20311
49	12974.43689
50	12883.73548
51	12710.48461
52	12610.29596
53	12477.69025
54	12347.9832
55	12199.96035
56	12082.54909
57	11992.28108
58	11893.32278
59	11801.4504
60	11687.92143
61	11480.84546
62	11352.13989
63	11235.41802
64	11130.4626
65	11023.07945
66	10913.54475
67	10794.79581
68	10699.97872
69	10592.23494
70	10510.46093
71	10444.01181
72	10359.63592
73	10277.45937
74	10222.46474
75	10101.74335
76	10030.96221
77	9946.855059
78	9850.895155
79	9778.984187
80	9689.029884
81	9583.283834
82	9481.461737
83	9370.855881
84	9260.803707
85	9194.637164
86	9107.259715
87	9044.309285
88	8955.745655
89	8880.461468
90	8806.940769
91	8703.901019
92	8636.567006
93	8549.276931
94	8482.073805
95	8394.826391
96	8330.486768
97	8252.186993
98	8171.576786
99	8103.153025
