iter	Passed	Remaining
0	76	7597
1	152	7450
2	239	7757
3	318	7633
4	395	7509
5	481	7544
6	561	7460
7	646	7434
8	735	7436
9	815	7337
10	902	7303
11	984	7218
12	1071	7169
13	1150	7067
14	1237	7014
15	1322	6945
16	1405	6860
17	1485	6769
18	1572	6704
19	1657	6630
20	1752	6594
21	1832	6495
22	1912	6401
23	1995	6320
24	2082	6248
25	2170	6178
26	2258	6105
27	2340	6017
28	2421	5928
29	2502	5839
30	2520	5610
31	2615	5557
32	2706	5495
33	2798	5432
34	2888	5363
35	2969	5279
36	3057	5206
37	3146	5133
38	3240	5068
39	3328	4992
40	3416	4916
41	3503	4838
42	3594	4764
43	3691	4698
44	3773	4611
45	3853	4523
46	3942	4446
47	4031	4367
48	4118	4286
49	4212	4212
50	4294	4125
51	4383	4046
52	4464	3958
53	4545	3872
54	4627	3785
55	4722	3710
56	4811	3629
57	4913	3557
58	4995	3471
59	5077	3384
60	5173	3307
61	5266	3227
62	5350	3142
63	5437	3058
64	5529	2977
65	5617	2893
66	5710	2812
67	5796	2727
68	5882	2642
69	5963	2555
70	6045	2469
71	6131	2384
72	6237	2306
73	6351	2231
74	6441	2147
75	6526	2060
76	6618	1976
77	6714	1893
78	6805	1809
79	6894	1723
80	6984	1638
81	7071	1552
82	7168	1468
83	7256	1382
84	7348	1296
85	7437	1210
86	7525	1124
87	7618	1038
88	7715	953
89	7805	867
90	7898	781
91	7993	695
92	8080	608
93	8176	521
94	8268	435
95	8356	348
96	8447	261
97	8529	174
98	8611	86
99	8733	0
